,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Opuwo,NA,-18.0607,13.84,75.02,9,0,6.82,clear sky
79,Kodiak,US,57.79,-152.4072,58.51,63,0,6.91,smoke
80,Dunedin,NZ,-45.8742,170.5036,39.79,76,3,1.99,clear sky
81,Gidole,ET,5.65,37.3667,65.8,55,100,3.56,overcast clouds
82,Codrington,AU,-38.2667,141.9667,56.16,72,100,17.81,light rain
83,Mar Del Plata,AR,-38.0023,-57.5575,40.08,72,40,5.75,scattered clouds
84,Barrow,US,71.2906,-156.7887,42.82,93,100,10.36,overcast clouds
85,New Norfolk,AU,-42.7826,147.0587,50.92,86,100,6.49,moderate rain
86,Dudinka,RU,69.4058,86.1778,87.62,20,2,7.58,clear sky
87,Namibe,AO,-15.1961,12.1522,73.38,49,0,9.04,clear sky
88,Coihaique,CL,-45.5752,-72.0662,13.95,92,0,0.0,clear sky
89,Urucara,BR,-2.5364,-57.76,73.81,86,18,2.37,few clouds
90,Mahebourg,MU,-20.4081,57.7,72.25,74,69,19.73,light rain
91,Thompson,CA,55.7435,-97.8558,45.79,82,41,5.77,scattered clouds
92,Caiaponia,BR,-16.9567,-51.8103,63.99,47,70,4.07,broken clouds
93,Soyo,AO,-6.1349,12.3689,77.49,70,58,8.16,broken clouds
94,Clyde River,CA,70.4692,-68.5914,34.03,86,100,24.16,overcast clouds
95,East London,ZA,-33.0153,27.9116,75.78,33,100,10.6,overcast clouds
96,Sitka,US,57.0531,-135.33,53.49,87,100,9.22,overcast clouds
97,Tiksi,RU,71.6872,128.8694,37.47,56,34,10.54,scattered clouds
98,Coolum Beach,AU,-26.5333,153.1,59.22,94,3,1.74,clear sky
99,Ati,TD,13.2154,18.3353,98.91,26,7,9.98,clear sky
100,Zaraza,VE,9.3503,-65.3245,73.94,90,14,1.99,few clouds
101,Saskylakh,RU,71.9167,114.0833,54.72,41,95,8.46,overcast clouds
102,Te Anau,NZ,-45.4167,167.7167,36.91,91,22,0.98,few clouds
103,Esperance,AU,-33.8667,121.9,57.04,78,99,13.09,overcast clouds
104,Alta Floresta,BR,-9.8756,-56.0861,69.26,66,28,1.95,scattered clouds
105,Mogadishu,SO,2.0371,45.3438,80.11,74,92,21.83,light rain
106,Kavieng,PG,-2.5744,150.7967,81.82,77,63,11.43,broken clouds
107,Tazmalt,DZ,36.3868,4.3989,97.21,18,42,6.11,scattered clouds
108,Los Algarrobos,PA,8.5,-82.4333,72.88,84,81,2.42,broken clouds
109,Komsomolskiy,UZ,40.4272,71.7189,86.72,28,100,6.91,light rain
110,Guasdualito,VE,7.2424,-70.7324,71.29,96,18,1.21,few clouds
111,Torbay,CA,47.6666,-52.7314,62.89,76,77,7.0,broken clouds
112,Mazagao,BR,-0.115,-51.2894,78.85,92,29,0.96,scattered clouds
113,Honolulu,US,21.3069,-157.8583,75.47,80,75,10.36,light rain
114,Cianjur,ID,-6.8224,107.1393,72.86,94,100,1.81,overcast clouds
115,Bjornevatn,NO,69.6672,29.9847,59.34,51,75,8.05,light rain
116,Zubtsov,RU,56.1753,34.5894,73.42,42,12,5.39,few clouds
117,Karaton,ID,-6.3424,106.1045,75.99,89,98,1.41,overcast clouds
118,Ekibastuz,KZ,51.6667,75.3667,87.58,30,33,24.2,scattered clouds
119,Beyneu,KZ,45.3167,55.2,104.76,8,26,16.35,scattered clouds
120,Nyurba,RU,63.2842,118.3319,80.65,50,73,1.57,broken clouds
121,Garowe,SO,8.4054,48.4845,85.28,45,99,25.99,overcast clouds
122,Palu,ID,-0.8917,119.8707,76.84,95,100,0.31,overcast clouds
123,Las Juntas,MX,19.4167,-104.7,73.38,88,100,2.73,overcast clouds
124,Cervo,ES,43.6702,-7.4101,63.97,79,62,8.46,broken clouds
125,Timizart,DZ,36.8,4.2667,87.31,44,38,9.6,scattered clouds
126,Deputatskiy,RU,69.3,139.9,38.35,42,72,17.94,broken clouds
127,Sept-Iles,CA,50.2001,-66.3821,52.05,96,100,4.0,moderate rain
128,Castro,BR,-24.7911,-50.0119,59.34,79,0,5.14,clear sky
129,Todos Santos,MX,23.45,-110.2167,72.66,86,84,4.83,broken clouds
130,Lishu,CN,43.3047,124.3278,71.87,83,16,5.99,few clouds
131,Kapaa,US,22.0752,-159.319,72.12,95,75,11.5,light rain
132,Haines Junction,CA,60.7522,-137.5108,52.09,94,100,3.62,overcast clouds
133,Najran,SA,17.4924,44.1277,101.48,8,42,16.91,scattered clouds
134,Manggar,ID,-2.8833,108.2667,80.04,82,100,12.91,overcast clouds
135,Loreto,MX,22.2667,-101.9667,56.52,79,99,9.44,overcast clouds
136,Morehead,US,37.2711,-87.1764,68.99,91,0,0.0,clear sky
137,Quatre Cocos,MU,-20.2078,57.7625,72.09,74,51,19.17,light rain
138,Vardo,NO,70.3705,31.1107,48.18,87,0,4.61,clear sky
139,Sibolga,ID,1.7427,98.7792,80.04,81,98,2.19,overcast clouds
140,Maniitsoq,GL,65.4167,-52.9,39.0,83,40,3.76,scattered clouds
141,Sinnamary,GF,5.3833,-52.95,76.35,90,89,4.56,overcast clouds
142,Lompoc,US,34.6391,-120.4579,52.93,100,100,4.61,mist
143,Praya,CV,14.9215,-23.5087,78.51,81,17,14.63,few clouds
144,Hamilton,US,39.1834,-84.5333,66.97,90,0,10.36,clear sky
145,Ayan,RU,56.45,138.1667,46.96,97,99,7.23,overcast clouds
