City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Provideniya,RU,2022-06-21 03:46:29,64.3833,-173.3,39.36,100,100,11.18
68,Yar-Sale,RU,2022-06-21 03:46:30,66.8333,70.8333,60.85,93,100,8.55
69,Awbari,LY,2022-06-21 03:46:30,26.5921,12.7805,82.13,18,0,8.3
70,Busselton,AU,2022-06-21 03:46:30,-33.65,115.3333,64.08,71,100,14.63
71,Constitucion,CL,2022-06-21 03:46:31,-35.3333,-72.4167,50.16,80,100,6.96
72,Sinnamary,GF,2022-06-21 03:46:31,5.3833,-52.95,76.91,87,10,5.68
73,Cape Town,ZA,2022-06-21 03:43:01,-33.9258,18.4232,59.38,80,0,10.0
74,Narsaq,GL,2022-06-21 03:46:31,60.9167,-46.05,43.02,96,100,3.09
75,Egvekinot,RU,2022-06-21 03:46:32,66.3167,-179.1667,36.9,97,100,6.22
76,Kaeo,NZ,2022-06-21 03:46:32,-35.1,173.7833,57.33,79,100,13.8
77,Okha,RU,2022-06-21 03:46:32,53.5739,142.9478,54.7,77,18,17.63
78,Mataura,NZ,2022-06-21 03:46:17,-46.1927,168.8643,43.48,81,0,1.23
79,Shingu,JP,2022-06-21 03:46:33,33.7333,135.9833,71.33,99,100,2.1
80,Kapaa,US,2022-06-21 03:46:33,22.0752,-159.319,82.38,81,40,13.8
81,Port Lincoln,AU,2022-06-21 03:46:33,-34.7333,135.8667,60.51,78,95,17.54
82,Tuktoyaktuk,CA,2022-06-21 03:46:34,69.4541,-133.0374,39.2,75,20,10.36
83,Srandakan,ID,2022-06-21 03:46:34,-7.9386,110.2506,84.7,67,85,13.06
84,Dieppe,FR,2022-06-21 03:43:23,49.75,1.1667,53.78,88,93,6.17
85,Katobu,ID,2022-06-21 03:46:35,-4.9408,122.5276,78.76,87,89,8.88
86,Bathsheba,BB,2022-06-21 03:46:35,13.2167,-59.5167,81.21,83,40,12.66
87,Yulara,AU,2022-06-21 03:46:35,-25.2406,130.9889,69.3,37,0,12.64
88,Chuy,UY,2022-06-21 03:46:36,-33.6971,-53.4616,47.61,83,100,5.91
89,Goderich,CA,2022-06-21 03:43:30,43.7501,-81.7165,65.91,91,50,12.84
90,Amalapuram,IN,2022-06-21 03:46:36,16.5833,82.0167,84.09,70,100,6.42
91,Udayagiri,IN,2022-06-21 03:42:02,20.1333,84.3833,84.72,56,84,6.2
92,Sept-Iles,CA,2022-06-21 03:46:36,50.2001,-66.3821,48.2,92,0,3.44
93,Parrita,CR,2022-06-21 03:46:37,9.5201,-84.3225,77.14,87,100,2.33
94,Havre-Saint-Pierre,CA,2022-06-21 03:47:37,50.2334,-63.5986,48.56,76,100,8.05
95,Port Alfred,ZA,2022-06-21 03:47:37,-33.5906,26.891,59.18,85,9,14.56
96,Kruisfontein,ZA,2022-06-21 03:47:38,-34.0033,24.7314,51.89,81,45,5.97
97,Qaanaaq,GL,2022-06-21 03:47:38,77.484,-69.3632,36.21,86,94,3.8
98,Cairns,AU,2022-06-21 03:47:38,-16.9167,145.7667,78.75,61,100,19.57
99,Coquimbo,CL,2022-06-21 03:47:39,-29.9533,-71.3436,51.53,76,100,2.3
100,Iskateley,RU,2022-06-21 03:47:39,67.6803,53.1512,47.35,74,93,13.24
101,Shumskiy,RU,2022-06-21 03:47:39,54.8318,99.1328,72.07,52,35,5.7
102,Dzheyrakh,RU,2022-06-21 03:47:40,42.8228,44.6756,60.19,67,4,1.5
103,Mount Gambier,AU,2022-06-21 03:47:40,-37.8333,140.7667,57.72,60,13,8.43
104,Komsomolskiy,UZ,2022-06-21 03:47:40,40.4272,71.7189,68.72,64,100,2.3
105,Neftekumsk,RU,2022-06-21 03:47:41,44.6667,44.9167,76.91,42,3,7.34
106,Roscrea,IE,2022-06-21 03:47:41,52.9511,-7.8017,50.68,89,100,2.57
107,Airai,TL,2022-06-21 03:47:41,-8.9266,125.4092,71.4,57,98,4.5
108,Leeton,AU,2022-06-21 03:47:42,-34.5667,146.4,57.88,56,66,9.51
109,Byron Bay,AU,2022-06-21 03:45:03,-28.65,153.6167,69.94,58,0,5.37
110,Zhangzhou,CN,2022-06-21 03:47:42,24.5133,117.6556,87.73,67,100,2.57
111,Praia,CV,2022-06-21 03:47:42,14.9215,-23.5087,75.74,94,75,8.05
112,Hanna,CA,2022-06-21 03:47:43,51.6334,-111.9018,58.86,81,78,3.0
113,Vaini,TO,2022-06-21 03:46:26,-21.2,-175.2,78.96,83,75,12.66
114,Naze,JP,2022-06-21 03:47:43,28.3667,129.4833,83.32,81,82,17.87
115,Itarema,BR,2022-06-21 03:47:43,-2.9248,-39.9167,75.51,81,73,11.74
116,Belmonte,BR,2022-06-21 03:47:44,-15.8631,-38.8828,70.52,88,15,6.69
117,Yellowknife,CA,2022-06-21 03:47:44,62.456,-114.3525,70.32,30,20,6.91
118,Shu,KZ,2022-06-21 03:47:44,43.5983,73.7614,73.81,51,100,4.21
119,Pisco,PE,2022-06-21 03:47:45,-13.7,-76.2167,59.05,82,11,0.0
120,Leningradskiy,RU,2022-06-21 03:47:45,69.3833,178.4167,40.42,91,100,12.68
121,Kudahuvadhoo,MV,2022-06-21 03:47:45,2.6708,72.8944,83.71,71,95,11.74
122,Nhulunbuy,AU,2022-06-21 03:47:46,-12.2333,136.7667,84.81,61,75,16.11
123,Los Llanos De Aridane,ES,2022-06-21 03:47:46,28.6585,-17.9182,64.15,89,100,10.36
124,Hithadhoo,MV,2022-06-21 03:47:46,-0.6,73.0833,83.26,72,56,12.01
125,Socorro,US,2022-06-21 03:47:47,31.6546,-106.3033,75.49,75,75,18.41
126,Barrow,US,2022-06-21 03:47:47,71.2906,-156.7887,55.42,50,0,10.36
127,Poum,NC,2022-06-21 03:46:31,-20.2333,164.0167,73.17,61,77,17.52
128,Bulawayo,ZW,2022-06-21 03:47:47,-20.15,28.5833,49.55,89,33,13.8
129,Carnarvon,AU,2022-06-21 03:47:48,-24.8667,113.6333,74.05,41,0,10.92
130,Meadow Lake,US,2022-06-21 03:47:48,34.8014,-106.5436,74.8,49,100,5.86
131,Paamiut,GL,2022-06-21 03:47:48,61.994,-49.6678,37.36,91,100,13.69
132,Blumenau,BR,2022-06-21 03:44:35,-26.9194,-49.0661,60.22,84,21,1.28
133,Alekseyevka,RU,2022-06-21 03:47:49,50.6309,38.6903,66.74,69,0,8.12
134,Poli,TZ,2022-06-21 03:47:49,-3.3333,36.8,55.67,94,43,2.57
135,Katherine,AU,2022-06-21 03:47:49,-14.4667,132.2667,84.52,28,93,14.97
136,Gat,IL,2022-06-21 03:47:50,31.61,34.7642,72.28,100,44,6.13
137,Torbay,CA,2022-06-21 03:47:50,47.6666,-52.7314,56.17,95,100,16.11
138,Samarai,PG,2022-06-21 03:47:50,-10.6167,150.6667,80.65,80,98,8.88
139,Hilo,US,2022-06-21 03:47:51,19.7297,-155.09,78.24,90,75,4.61
140,Ayan,RU,2022-06-21 03:48:51,56.45,138.1667,50.67,79,25,4.74
141,Broken Hill,AU,2022-06-21 03:48:51,-31.95,141.4333,58.53,47,60,9.08
142,Oktyabrskoye,RU,2022-06-21 03:48:52,43.0645,44.7417,66.34,73,0,0.0
143,Fort Morgan,US,2022-06-21 03:48:52,40.2503,-103.8,76.42,24,0,20.71
144,Port-Gentil,GA,2022-06-21 03:48:52,-0.7193,8.7815,73.02,83,59,15.55
145,Waddan,LY,2022-06-21 03:48:53,29.1614,16.139,74.52,44,0,4.61
146,Horsham,GB,2022-06-21 03:48:53,51.064,-0.3272,52.63,89,0,1.14
147,Vila Franca Do Campo,PT,2022-06-21 03:48:53,37.7167,-25.4333,66.2,90,81,7.18
148,Koboko,UG,2022-06-21 03:48:54,3.4136,30.9599,59.58,93,69,1.61
149,Osterburg,DE,2022-06-21 03:48:54,52.7833,11.7667,52.09,96,4,9.6
150,Kirkwall,GB,2022-06-21 03:48:55,58.9848,-2.9587,51.96,100,100,11.5
151,Sarkand,KZ,2022-06-21 03:48:55,45.41,79.9186,81.61,33,3,7.23
152,Korla,CN,2022-06-21 03:48:55,41.7597,86.1469,86.04,19,91,9.42
153,Soligalich,RU,2022-06-21 03:48:56,59.0778,42.2864,52.41,93,100,2.93
154,Kimbe,PG,2022-06-21 03:48:56,-5.5502,150.1429,84.36,72,34,5.23
155,Rio Branco,BR,2022-06-21 03:47:39,-9.9747,-67.81,70.41,100,0,0.0
156,Portland,US,2022-06-21 03:44:37,45.5234,-122.6762,67.98,67,9,3.0
157,Sao Filipe,CV,2022-06-21 03:48:57,14.8961,-24.4956,73.89,93,42,4.74
158,East London,ZA,2022-06-21 03:48:57,-33.0153,27.9116,61.74,82,0,6.91
159,Tazovskiy,RU,2022-06-21 03:48:57,67.4667,78.7,72.91,43,96,9.46
160,Oranjemund,NA,2022-06-21 03:48:58,-28.55,16.4333,53.42,75,54,3.0
161,Meulaboh,ID,2022-06-21 03:48:58,4.1363,96.1285,75.56,89,100,4.76
162,Puerto Escondido,MX,2022-06-21 03:48:58,15.85,-97.0667,79.54,88,100,3.22
163,Kahului,US,2022-06-21 03:48:59,20.8947,-156.47,80.62,69,40,20.71
164,Ponta Do Sol,PT,2022-06-21 03:48:59,32.6667,-17.1,66.7,68,42,6.15
165,Laguna,US,2022-06-21 03:48:59,38.421,-121.4238,88.09,21,0,6.91
166,Madang,PG,2022-06-21 03:49:00,-5.2246,145.7966,84.24,64,98,4.85
167,Pitimbu,BR,2022-06-21 03:49:00,-7.4706,-34.8086,73.99,82,27,12.24
168,Pevek,RU,2022-06-21 03:49:00,69.7008,170.3133,33.15,96,98,5.68
169,Aksarka,RU,2022-06-21 03:49:00,66.5606,67.7975,57.99,97,100,10.11
170,Port Keats,AU,2022-06-21 03:49:01,-14.25,129.55,90.41,25,100,11.39
171,Clyde River,CA,2022-06-21 03:49:01,70.4692,-68.5914,37.63,81,40,11.5
172,Cururupu,BR,2022-06-21 03:49:01,-1.8283,-44.8683,72.57,96,6,2.53
173,Waipawa,NZ,2022-06-21 03:49:02,-41.4122,175.5153,46.72,80,97,11.34
174,Lompoc,US,2022-06-21 03:45:02,34.6391,-120.4579,71.74,73,0,8.05
175,Kirakira,SB,2022-06-21 03:48:08,-10.4544,161.9205,82.06,79,71,3.27
176,Bambous Virieux,MU,2022-06-21 03:49:02,-20.3428,57.7575,68.25,56,20,5.75
177,Umm Lajj,SA,2022-06-21 03:49:03,25.0213,37.2685,82.24,74,66,13.24
178,Norman Wells,CA,2022-06-21 03:49:03,65.282,-126.8329,60.84,72,100,0.0
179,Arcachon,FR,2022-06-21 03:49:03,44.5875,-1.0519,64.45,100,72,3.44
180,Victoria,HK,2022-06-21 03:49:04,22.2855,114.1577,87.85,77,100,13.0
181,Kalmunai,LK,2022-06-21 03:49:04,7.4167,81.8167,85.64,64,99,2.91
182,Ho Chi Minh City,VN,2022-06-21 03:49:04,10.75,106.6667,89.62,70,75,3.44
183,Moranbah,AU,2022-06-21 03:49:05,-22.0016,148.0466,72.61,45,98,13.6
184,Harper,LR,2022-06-21 03:49:05,4.375,-7.7169,73.71,94,100,2.55
185,Lavrentiya,RU,2022-06-21 03:49:05,65.5833,-171.0,41.81,90,100,12.17
186,Severo-Kurilsk,RU,2022-06-21 03:46:33,50.6789,156.125,48.42,90,90,12.24
187,Margate,GB,2022-06-21 03:50:06,51.3813,1.3862,53.69,91,39,1.01
188,Santa Maria Da Boa Vista,BR,2022-06-21 03:50:06,-8.8078,-39.8256,70.84,83,75,14.18
189,Le Port,RE,2022-06-21 03:50:06,-20.9373,55.2919,69.26,75,36,3.18
190,Guatire,VE,2022-06-21 03:50:07,10.4762,-66.5427,71.19,98,90,2.55
191,Longonjo,AO,2022-06-21 03:50:07,-12.9067,15.2533,49.41,62,0,1.23
192,Bredasdorp,ZA,2022-06-21 03:50:07,-34.5322,20.0403,51.96,95,53,2.3
193,Saint-Philippe,RE,2022-06-21 03:50:08,-21.3585,55.7679,63.99,70,49,8.01
194,Mabaruma,GY,2022-06-21 03:50:08,8.2,-59.7833,73.35,98,100,1.79
195,Karasuk,RU,2022-06-21 03:50:08,53.7377,78.0403,77.58,46,54,13.38
196,Srednekolymsk,RU,2022-06-21 03:50:09,67.45,153.6833,53.6,31,8,6.55
197,Inyonga,TZ,2022-06-21 03:50:09,-6.7167,32.0667,52.86,69,8,4.52
198,Kutum,SD,2022-06-21 03:50:09,14.2,24.6667,74.86,52,30,3.31
199,Tacna,PE,2022-06-21 03:50:10,-18.0056,-70.2483,47.3,84,34,1.25
200,Tahta,EG,2022-06-21 03:50:10,26.7693,31.5021,77.65,39,0,10.56
201,Muravlenko,RU,2022-06-21 03:50:10,63.7898,74.523,77.27,45,12,19.89
202,Alice Springs,AU,2022-06-21 03:47:31,-23.7,133.8833,71.15,32,0,13.8
203,Geraldton,AU,2022-06-21 03:50:11,-28.7667,114.6,70.21,68,4,18.41
204,Nichinan,JP,2022-06-21 03:50:11,31.6,131.3667,74.88,91,100,8.7
205,Muncar,ID,2022-06-21 03:50:12,-8.4333,114.3333,84.51,61,47,9.57
206,Antofagasta,CL,2022-06-21 03:50:12,-23.65,-70.4,58.28,84,20,1.88
207,Mahuva,IN,2022-06-21 03:50:12,21.0914,71.7622,87.15,68,50,11.7
208,Kavaratti,IN,2022-06-21 03:50:12,10.5669,72.642,82.89,77,100,21.41
209,Pasco,US,2022-06-21 03:49:14,28.292,-82.4165,80.46,76,94,10.22
210,Zhezkazgan,KZ,2022-06-21 03:49:14,47.8043,67.7144,76.98,41,0,4.47
211,Iqaluit,CA,2022-06-21 03:50:13,63.7506,-68.5145,44.33,70,20,9.22
212,Buraydah,SA,2022-06-21 03:50:13,26.326,43.975,84.65,13,0,5.57
213,Mehamn,NO,2022-06-21 03:50:14,71.0357,27.8492,53.55,62,0,13.8
214,Bundaberg,AU,2022-06-21 03:50:14,-24.85,152.35,73.22,63,100,5.99
215,Mbanza-Ngungu,CD,2022-06-21 03:50:14,-5.25,14.8667,60.89,86,3,4.45
216,Dagana,MR,2022-06-21 03:50:15,16.5165,-15.5068,80.06,71,100,8.03
217,Gigmoto,PH,2022-06-21 03:50:15,13.7796,124.39,87.8,66,65,7.25
218,Sitka,US,2022-06-21 03:50:15,57.0531,-135.33,53.49,76,100,8.05
219,Winnemucca,US,2022-06-21 03:50:16,40.973,-117.7357,66.25,20,0,4.61
220,Tara,RU,2022-06-21 03:50:16,56.8944,74.371,70.45,75,94,10.74
221,Gayny,RU,2022-06-21 03:50:16,60.3071,54.3241,54.28,98,100,6.62
222,Taunggyi,MM,2022-06-21 03:50:17,20.7833,97.0333,72.97,66,91,6.93
223,Lata,PT,2022-06-21 03:50:17,40.1629,-8.3327,51.78,97,32,1.99
224,Maceio,BR,2022-06-21 03:45:21,-9.6658,-35.7353,72.84,88,75,12.66
225,Hami,CN,2022-06-21 03:50:18,42.8,93.45,91.63,15,76,12.71
226,Saskylakh,RU,2022-06-21 03:50:18,71.9167,114.0833,56.66,52,99,1.63
227,Coban,GT,2022-06-21 03:50:18,15.4833,-90.3667,62.76,99,100,1.25
228,Vestmanna,FO,2022-06-21 03:50:18,62.1564,-7.1664,43.72,87,100,8.05
229,Warah,PK,2022-06-21 03:50:19,27.4481,67.7978,90.46,44,0,18.21
230,Goma,CD,2022-06-21 03:46:47,-1.6792,29.2228,59.5,89,71,2.66
231,Balkanabat,TM,2022-06-21 03:50:19,39.5108,54.3671,88.86,17,0,10.33
232,Okhotsk,RU,2022-06-21 03:50:20,59.3833,143.3,53.1,75,91,10.85
233,Bonavista,CA,2022-06-21 03:51:20,48.6499,-53.1147,51.46,100,100,11.3
234,Kidal,ML,2022-06-21 03:51:20,18.4411,1.4078,89.56,26,37,5.91
235,Alofi,NU,2022-06-21 03:49:38,-19.0595,-169.9187,82.29,83,20,6.91
236,Arona,ES,2022-06-21 03:51:21,28.0996,-16.681,64.81,76,40,11.5
237,Khatanga,RU,2022-06-21 03:51:21,71.9667,102.5,57.27,57,100,7.81
238,Karatau,KZ,2022-06-21 03:51:22,43.1667,70.4667,73.29,46,100,3.71
239,Shelburne,CA,2022-06-21 03:51:22,44.0787,-80.2041,63.05,75,62,7.87
240,North Bend,US,2022-06-21 03:51:22,43.4065,-124.2243,59.86,94,100,25.32
241,Sistranda,NO,2022-06-21 03:51:22,63.7256,8.834,51.76,89,100,28.48
242,Bethel,US,2022-06-21 03:51:23,41.3712,-73.414,64.71,74,0,4.61
243,Lubango,AO,2022-06-21 03:51:23,-14.9172,13.4925,46.67,33,0,3.09
244,Mezen,RU,2022-06-21 03:51:23,65.8522,44.24,44.56,84,100,6.87
245,Pangoa,PE,2022-06-21 03:51:24,-12.1167,-73.0,65.7,96,82,2.71
246,Nantucket,US,2022-06-21 03:48:41,41.2835,-70.0995,62.71,88,0,10.36
247,Fujin,CN,2022-06-21 03:51:24,47.26,132.0322,72.41,81,100,12.19
248,Champerico,GT,2022-06-21 03:51:25,14.3,-91.9167,76.68,87,100,6.64
249,Kavieng,PG,2022-06-21 03:51:25,-2.5744,150.7967,85.05,65,54,5.44
250,Burnie,AU,2022-06-21 03:51:25,-41.0667,145.9167,58.95,61,70,9.31
251,Lisakovsk,KZ,2022-06-21 03:51:26,52.5369,62.4936,63.28,62,72,21.94
252,Sorong,ID,2022-06-21 03:50:44,-0.8833,131.25,82.9,71,100,4.07
253,Lorengau,PG,2022-06-21 03:51:26,-2.0226,147.2712,83.88,68,64,6.49
254,Olinda,BR,2022-06-21 03:51:26,-8.0089,-34.8553,80.33,74,40,9.22
255,Luanda,AO,2022-06-21 03:47:23,-8.8368,13.2343,66.2,88,3,4.61
256,Guanica,PR,2022-06-21 03:51:27,17.9716,-66.908,80.06,88,3,5.59
257,Laerdalsoyri,NO,2022-06-21 03:51:27,61.098,7.4816,53.94,76,75,5.75
258,Mahajanga,MG,2022-06-21 03:51:27,-15.7167,46.3167,64.42,82,20,4.61
259,Flinders,AU,2022-06-21 03:51:28,-34.5833,150.8552,64.06,61,95,3.29
260,Shenjiamen,CN,2022-06-21 03:51:28,29.9576,122.298,76.44,90,73,4.16
261,Nieuw Amsterdam,SR,2022-06-21 03:51:28,5.8833,-55.0833,76.01,92,81,5.88
262,Aleksandrovka,UA,2022-06-21 03:51:29,46.8383,32.7612,69.37,62,90,4.85
263,Gomel,BY,2022-06-21 03:51:29,52.4345,30.9754,70.84,88,0,6.71
264,Morondava,MG,2022-06-21 03:51:29,-20.2833,44.2833,65.82,67,0,7.38
265,Hamilton,US,2022-06-21 03:51:15,39.1834,-84.5333,69.58,77,0,0.0
266,San Jeronimo,PE,2022-06-21 03:51:30,-11.9472,-75.2829,42.78,81,32,3.51
267,Castelo Branco,PT,2022-06-21 03:51:30,39.8222,-7.4909,48.96,93,2,1.79
